dataset,comparison,scope,metric,n,a_mean,b_mean,delta,ci_lo,ci_hi,p,verdict,p_bh,verdict_bh
amazon,HMT-HM[llama8b],evolving_interest,ndcg@5,131,0.3394276942838626,0.46788262154317717,-0.12845492725931457,-0.20434934897616758,-0.05049480661841285,0.0012,hurts*,0.0077142857142857135,hurts*
amazon,HMT-HM[llama8b],evolving_interest,hr@5,131,0.5190839694656488,0.6412213740458015,-0.12213740458015267,-0.22137404580152673,-0.022900763358778626,0.018,hurts*,0.05785714285714285,ns
amazon,HMT-HM[llama8b],POOLED,ndcg@5,795,0.401452353555751,0.43611201478884304,-0.03465966123309206,-0.06294805045790403,-0.006228405880140421,0.0228,hurts*,0.064125,ns
amazon,HMT-HM[llama8b],POOLED,hr@5,795,0.5786163522012578,0.6264150943396226,-0.04779874213836478,-0.08679245283018867,-0.00880503144654088,0.0212,hurts*,0.0636,ns
goodreads,HMT-HM[llama1b],classic,ndcg@5,400,0.39424333784567267,0.4289825338075824,-0.034739195961909816,-0.06009122576481556,-0.01065621895918215,0.0048,hurts*,0.019636363636363632,hurts*
goodreads,HMT-HM[llama1b],classic,hr@5,400,0.6,0.66,-0.06,-0.0925,-0.0275,0.0004,hurts*,0.0022500000000000003,hurts*
goodreads,HMT-HM[llama1b],cold_start_user,ndcg@5,239,0.3895380645684004,0.4273536018983355,-0.037815537329935076,-0.07032422618945254,-0.0073410667881023016,0.014,hurts*,0.045,hurts*
goodreads,HMT-HM[llama1b],cold_start_user,hr@5,239,0.5983263598326359,0.6610878661087866,-0.06276150627615062,-0.10460251046025104,-0.02510460251046025,0.0024,hurts*,0.009818181818181816,hurts*
goodreads,HMT-HM[llama1b],cold_start_item,ndcg@5,225,0.40885733951943853,0.4372011395201091,-0.028343800000670487,-0.06361361715129854,0.007468188167350552,0.1176,ns,0.2646,ns
goodreads,HMT-HM[llama1b],cold_start_item,hr@5,225,0.6266666666666667,0.6666666666666666,-0.04,-0.08444444444444445,0.0,0.0808,ns,0.211,ns
goodreads,HMT-HM[llama1b],evolving_interest,ndcg@5,91,0.4449250477146293,0.46132376056867597,-0.016398712854046635,-0.06761754031307184,0.03372882903216051,0.514,ns,0.6455675675675676,ns
goodreads,HMT-HM[llama1b],evolving_interest,hr@5,91,0.6483516483516484,0.6703296703296703,-0.02197802197802198,-0.08791208791208792,0.04395604395604396,0.6428,ns,0.7666153846153846,ns
goodreads,HMT-HM[llama1b],POOLED,ndcg@5,955,0.4013382338262007,0.43359292458692067,-0.03225469076071991,-0.04847270026813847,-0.01652043059285954,0.0004,hurts*,0.0030000000000000005,hurts*
goodreads,HMT-HM[llama1b],POOLED,hr@5,955,0.6104712041884817,0.6628272251308901,-0.05235602094240838,-0.07329842931937172,-0.031413612565445025,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[llama3b],classic,ndcg@5,400,0.3230212106045538,0.4319997538151516,-0.1089785432105978,-0.14986481603186877,-0.06734129550930487,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[llama3b],classic,hr@5,400,0.48,0.6375,-0.1575,-0.2175,-0.1,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[llama3b],cold_start_user,ndcg@5,239,0.3667854356399255,0.4321725649486962,-0.06538712930877076,-0.11666087731508251,-0.012711401979790015,0.0136,hurts*,0.045,hurts*
goodreads,HMT-HM[llama3b],cold_start_user,hr@5,239,0.5313807531380753,0.6485355648535565,-0.11715481171548117,-0.18828451882845187,-0.04602510460251046,0.0012,hurts*,0.005399999999999999,hurts*
goodreads,HMT-HM[llama3b],cold_start_item,ndcg@5,225,0.3476648506981216,0.4649501859529616,-0.11728533525484,-0.17391570202654189,-0.05883777871497594,0.0,hurts*,0.0,hurts*
